id,category
1,5
2,4
3,6
4,2
5,2
6,5
7,6
8,3
9,4
10,5
11,6
12,6
13,3
14,3
15,3
16,4
17,2
18,4
19,5
20,4
21,3
22,1
23,1
24,3
25,5
26,4
27,5
28,3
29,2
30,1
31,2
32,3
33,4
34,2
35,6
36,4
37,4
38,6
39,2
40,6
41,2
42,2
43,3
44,2
45,5
46,5
47,4
48,5
49,1
50,3
51,2
52,6
53,6
54,5
55,4
56,6
57,4
58,2
59,3
60,1
61,5
62,5
63,5
64,5
65,5
66,6
67,4
68,6
69,3
70,5
71,2
72,6
73,2
74,3
75,1
76,1
77,3
78,4
79,6
80,1
81,6
82,6
83,5
84,4
85,1
86,5
87,6
88,3
89,6
90,4
91,2
92,1
93,3
94,3
95,5
96,6
97,1
98,1
99,5
100,2
101,4
102,2
103,4
104,3
105,1
106,3
107,3
108,5
109,1
110,4
111,1
112,3
113,1
114,4
115,1
116,2
117,1
118,6
119,6
120,3
121,3
122,5
123,6
124,2
125,3
126,6
127,6
128,4
129,2
130,6
131,2
132,4
133,1
134,2
135,4
136,6
137,6
138,4
139,4
140,5
141,5
142,5
143,1
144,5
145,3
146,4
147,5
148,2
149,4
150,5
151,1
152,4
153,1
154,1
155,3
156,5
157,5
158,3
159,3
160,2
161,1
162,4
163,5
164,1
165,4
166,1
167,4
168,6
169,5
170,1
171,1
172,5
173,6
174,3
175,2
176,4
177,1
178,1
179,6
180,1
181,5
182,3
183,5
184,6
185,6
186,1
187,4
188,1
189,1
190,6
191,5
192,4
193,3
194,5
195,1
196,6
197,1
198,6
199,4
200,1
201,6
202,3
203,6
204,4
205,3
206,2
207,4
208,3
209,5
210,6
211,3
212,2
213,1
214,2
215,1
216,4
217,3
218,4
219,2
220,6
221,2
222,5
223,5
224,3
225,5
226,4
227,3
228,5
229,2
230,5
231,5
232,4
233,6
234,4
235,5
236,3
237,3
238,5
239,4
240,4
241,6
242,1
243,3
244,6
245,2
246,1
247,6
248,2
249,1
250,5
251,5
252,5
253,1
254,4
255,6
256,3
257,3
258,1
259,3
260,2
261,3
262,1
263,5
264,4
265,4
266,1
267,3
268,1
269,4
270,2
271,6
272,2
273,4
274,2
275,4
276,5
277,1
278,4
279,6
280,5
281,4
282,1
283,6
284,3
285,4
286,4
287,2
288,3
289,1
290,5
291,3
292,2
293,5
294,2
295,3
296,3
297,5
298,6
299,5
300,1
301,4
302,6
303,6
304,2
305,3
306,6
307,5
308,4
309,3
310,1
311,3
312,4
313,5
314,1
315,2
316,6
317,5
318,1
319,2
320,5
321,4
322,2
323,3
324,2
325,4
326,4
327,1
328,1
329,5
330,1
331,5
332,5
333,4
334,4
335,4
336,1
337,3
338,4
339,1
340,3
341,4
342,5
